mes,V1013,cor,d0051,d0031,d0041,d0053,f001,f002a1,f002a2,f002a3,f002a4,f002a5,f0021,f0022
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,1,2,2,2,,5,1,1,1,2,1,,
9,9,2,2,2,2,,5,1,1,1,2,1,,
9,9,2,2,2,2,,5,1,1,1,2,1,,
9,9,4,2,2,2,,3,1,1,1,2,1,700,3
9,9,1,2,2,2,,5,1,1,1,1,1,,
9,9,2,2,2,2,,5,1,1,1,1,1,,
9,9,4,2,2,2,,5,1,1,1,2,1,,
9,9,4,1,2,2,2400,1,1,1,1,2,1,,
9,9,4,1,2,2,2400,1,1,1,1,2,1,,
9,9,4,1,2,2,600,5,1,1,1,2,1,,
9,9,4,2,2,2,,3,1,2,1,2,1,750,3
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,4,1,1,2,1200,5,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,200,1
9,9,4,1,2,2,600,3,1,1,1,2,1,400,2
9,9,4,1,2,2,600,5,1,1,1,1,1,,
9,9,4,1,2,1,600,3,1,2,1,2,1,2000,5
9,9,2,1,2,2,1200,3,1,1,1,2,1,400,2
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,2,1,,
9,9,4,2,2,1,,1,1,1,1,2,1,,
9,9,4,1,2,1,600,1,1,1,1,2,1,,
9,9,2,1,2,1,600,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,1,1,,
9,9,1,1,2,2,1200,1,1,1,1,1,1,,
9,9,4,1,1,2,1200,1,1,1,1,2,1,,
9,9,4,1,1,2,1200,1,1,1,1,2,1,,
9,9,4,1,1,2,1200,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,4,1,2,2,600,2,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,1,2,2,2400,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,1,2,2,3000,5,1,1,1,1,1,,
9,9,2,1,2,2,1200,1,1,1,1,1,1,,
9,9,4,2,2,1,,5,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,500,2
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,1,2,1800,1,1,1,1,1,1,,
9,9,4,1,2,2,3000,1,1,1,1,2,1,,
9,9,4,1,2,2,3000,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,450,2
9,9,4,1,2,2,600,3,1,1,1,2,1,380,2
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,5,1,1,1,2,1,,
9,9,1,1,2,2,1200,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,1,1,2,1800,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,5,1,2,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,2,1,1,2,1200,3,1,1,1,2,1,500,2
9,9,4,2,2,2,,3,1,1,1,2,1,950,4
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,700,3
9,9,1,1,1,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,1,1,1,2,600,1,1,1,1,2,1,,
9,9,4,1,1,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,5,2,2,2,,3,1,1,1,2,1,500,2
9,9,1,2,2,2,,3,1,1,1,2,1,500,2
9,9,1,2,2,2,,3,1,1,1,2,1,800,3
9,9,1,2,2,2,,3,1,1,1,2,1,800,3
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,2,1,250,1
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,3,1,2,2,1200,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,1,1,2,2,600,5,1,2,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,2,1,350,2
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,3,1,1,1,2,1,750,3
9,9,4,1,2,2,1200,3,1,1,1,2,1,750,3
9,9,1,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,1800,1,1,1,1,1,1,,
9,9,4,1,2,2,1800,1,1,1,1,1,1,,
9,9,4,1,2,2,1800,1,1,1,1,1,1,,
9,9,2,1,1,2,600,1,1,1,1,2,1,,
9,9,2,1,1,2,600,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,1,2,2,2,,1,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,1,2,2,2,,1,1,1,1,2,1,,
9,9,2,1,2,2,600,1,1,1,1,2,1,,
9,9,2,1,2,2,600,1,1,1,1,2,1,,
9,9,1,1,2,2,1200,3,1,1,1,2,1,250,1
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,2,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,2,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,1,1,2,2,600,3,1,1,1,1,1,1000,4
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,400,2
9,9,4,1,2,2,600,3,1,1,1,2,1,800,3
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,1,1,1,1,400,2
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,2,2,2,,3,1,2,1,2,1,250,1
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,2,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,2,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,3,1,1,1,2,1,800,3
9,9,1,1,2,2,600,3,1,1,1,2,1,800,3
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,3,1,1,1,1,1,600,2
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,1,1,1,1,2,1,,
9,9,4,1,2,2,600,5,1,1,1,2,1,,
9,9,4,2,2,2,,1,1,1,1,2,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,2,1,1,1,1,1,,
9,9,2,1,1,2,1200,1,1,1,1,2,1,,
9,9,1,1,1,2,1200,1,1,1,1,2,1,,
9,9,2,1,1,2,1200,1,1,1,1,2,1,,
9,9,4,1,2,2,1200,1,1,1,1,1,1,,
9,9,1,2,2,2,,2,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,2,2,2,2,,3,1,1,1,1,1,1500,4
9,9,2,2,2,2,,3,1,1,1,1,1,1500,4
9,9,2,2,2,2,,3,1,1,1,1,1,1500,4
9,9,1,1,2,2,600,1,1,1,1,2,1,,
9,9,1,1,2,2,600,1,1,1,1,1,1,,
9,9,2,2,2,2,,1,1,1,1,1,1,,
9,9,1,1,2,2,600,1,1,1,1,2,1,,
9,9,1,2,2,2,,1,1,1,1,1,1,,
9,9,4,2,2,2,,1,1,1,1,1,1,,
9,9,2,1,2,2,1800,1,1,1,1,1,1,,
9,9,4,1,2,2,1800,1,1,1,1,1,1,,
9,9,1,1,2,2,1800,1,1,1,1,1,1,,
9,9,1,1,2,2,1800,1,1,1,1,1,1,,
